kind,eventType,ref,scene,data
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8820] _id=6a9c8fe6485cab4c95401000 ts=2026-09-05T21:55:48.1370000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:48.1370000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8819] _id=6a9c8fe6485cab4c95401002 ts=2026-09-05T21:55:48.1370000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:48.1370000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8800] _id=6a9c8fe7485cab4c95401024 ts=2026-09-05T21:55:49.0040000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:49.0040000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8802] _id=6a9c8fe7485cab4c95401026 ts=2026-09-05T21:55:49.0040000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:49.0040000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8795] _id=6a9c8fe7485cab4c95401028 ts=2026-09-05T21:55:49.0370000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:49.0370000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8798] _id=6a9c8fe7485cab4c95401030 ts=2026-09-05T21:55:49.0370000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraUncentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:49.0370000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8780] _id=6a9c8fe8485cab4c95401036 ts=2026-09-05T21:55:50.6720000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:50.6720000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8781] _id=6a9c8fe8485cab4c95401038 ts=2026-09-05T21:55:50.6720000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:50.6720000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8783] _id=6a9c8fe9485cab4c95401040 ts=2026-09-05T21:55:50.6720000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:50.6720000Z""}"
exact,PuzzlePieceVisibleEvent,wenyi090326-3.stratalog.logdata.json[8779] _id=6a9c8fe9485cab4c95401044 ts=2026-09-05T21:55:50.6720000Z,Unit 2 Prod (Refactor),"{""actionType"": ""BecameCameraCentered"", ""pieceId"": ""Dissolving Particles Slot 1"", ""timestamp"": ""2026-09-05T21:55:50.6720000Z""}"
