eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:23:68,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:24:03.2640000Z,2026-08-25T17:24:03.2640000Z,6a8dcfb2485cab4c953c0472,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:23:69,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:24:03.4150000Z,2026-08-25T17:24:03.4150000Z,6a8dcfb2485cab4c953c0474,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:23:70,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:24:06.0990000Z,2026-08-25T17:24:06.0990000Z,6a8dcfb5485cab4c953c047e,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:23:71,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:24:07.9000000Z,2026-08-25T17:24:07.9000000Z,6a8dcfb6485cab4c953c0482,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:23:73,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:24:08.4670000Z,2026-08-25T17:24:08.4670000Z,6a8dcfb7485cab4c953c0484,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:0,dialogue,6,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:29:24.4200000Z,2026-08-25T17:30:33.6030000Z,6a8dd0f3485cab4c953c0580,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:136,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:30:34.8380000Z,2026-08-25T17:30:34.8380000Z,6a8dd139485cab4c953c05c8,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:141,dialogue,6,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:29:28.0200000Z,2026-08-25T17:30:34.8360000Z,6a8dd0f7485cab4c953c0588,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:142,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:29:24.4350000Z,2026-08-25T17:29:24.4350000Z,6a8dd0f3485cab4c953c0584,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:148,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:30:33.6180000Z,2026-08-25T17:30:33.6180000Z,6a8dd138485cab4c953c05c4,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:175,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:30:28.2310000Z,2026-08-25T17:30:28.2310000Z,6a8dd133485cab4c953c05ba,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:179,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:30:21.7110000Z,2026-08-25T17:30:21.7110000Z,6a8dd12c485cab4c953c05ae,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:181,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:30:08.2220000Z,2026-08-25T17:30:08.2220000Z,6a8dd11f485cab4c953c05a2,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:26:186,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:29:33.4070000Z,2026-08-25T17:29:33.4070000Z,6a8dd0fc485cab4c953c0590,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:27:0,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:19.4750000Z,2026-08-25T17:35:19.4750000Z,6a8dd256485cab4c953c0a3c,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:27:7,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-08-25T17:35:19.4880000Z,2026-08-25T17:35:19.4880000Z,6a8dd256485cab4c953c0a41,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:30:1,dialogue,1,DialogueEvent,Unit 1 Dev,2026-08-25T16:50:02.0270000Z,2026-08-25T16:50:02.0270000Z,6a8dc7b9485cab4c953bf279,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:30:10,dialogue,1,DialogueEvent,Unit 1 Dev,2026-08-25T16:51:13.4900000Z,2026-08-25T16:51:13.4900000Z,6a8dc800485cab4c953bf2bc,wenyi082526-1.stratalog.logdata.json
DialogueNodeEvent:30:100,dialogue,1,DialogueEvent,Unit 1 Dev,2026-08-25T17:03:23.2410000Z,2026-08-25T17:03:23.2410000Z,6a8dcada485cab4c953bf7b4,wenyi082526-1.stratalog.logdata.json
