eventKey,kind,count,eventTypes,scenes,first_ts,last_ts,example_id,example_src
DialogueNodeEvent:18:279,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:53:33.7140000Z,2026-09-05T21:53:33.7140000Z,6a9c8f5d485cab4c95400bf6,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:280,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:07.0710000Z,2026-09-05T21:41:07.0710000Z,6a9c8c72485cab4c95400854,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:281,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:14.1410000Z,2026-09-05T21:41:14.1410000Z,6a9c8c79485cab4c9540086c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:282,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:13.7070000Z,2026-09-05T21:41:13.7070000Z,6a9c8c79485cab4c9540086a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:283,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:47.9620000Z,2026-09-05T21:41:47.9620000Z,6a9c8c9b485cab4c9540089a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:284,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:08:50.2600000Z,2026-09-05T22:08:50.2600000Z,6a9c92f2485cab4c95401b56,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:287,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:46:27.8700000Z,2026-09-05T21:46:27.8700000Z,6a9c8db3485cab4c95400a9a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:289,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:46:30.3040000Z,2026-09-05T21:46:30.3040000Z,6a9c8db6485cab4c95400aa2,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:290,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T22:05:44.1270000Z,2026-09-05T22:05:44.1270000Z,6a9c9237485cab4c954019b2,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:33,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:31.6340000Z,2026-09-05T21:37:31.6340000Z,6a9c8b9b485cab4c9540025a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:34,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:34.6690000Z,2026-09-05T21:37:34.6690000Z,6a9c8b9e485cab4c95400260,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:35,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:35.0350000Z,2026-09-05T21:37:35.0350000Z,6a9c8b9e485cab4c95400264,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:36,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:36.0020000Z,2026-09-05T21:37:36.0020000Z,6a9c8b9f485cab4c95400266,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:37,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:37.4030000Z,2026-09-05T21:37:37.4030000Z,6a9c8ba1485cab4c95400268,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:38,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:38.0330000Z,2026-09-05T21:37:38.0330000Z,6a9c8ba1485cab4c9540026a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:39,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:37:38.0340000Z,2026-09-05T21:37:38.0340000Z,6a9c8ba1485cab4c9540026c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:4,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:36:31.4580000Z,2026-09-05T21:36:31.4580000Z,6a9c8b5f485cab4c954001e2,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:41,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:39:43.8870000Z,2026-09-05T21:39:43.8870000Z,6a9c8c1f485cab4c95400808,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:47,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:39:49.9040000Z,2026-09-05T21:39:49.9040000Z,6a9c8c25485cab4c9540080e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:5,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:36:32.9590000Z,2026-09-05T21:36:32.9590000Z,6a9c8b60485cab4c954001e4,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:56,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:40:44.0950000Z,2026-09-05T21:40:44.0950000Z,6a9c8c5b485cab4c95400844,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:59,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:00.5680000Z,2026-09-05T21:41:00.5680000Z,6a9c8c6c485cab4c9540084c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:60,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:07.3370000Z,2026-09-05T21:41:07.3370000Z,6a9c8c73485cab4c95400858,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:62,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:09.1380000Z,2026-09-05T21:41:09.1380000Z,6a9c8c74485cab4c9540085a,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:64,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:09.5050000Z,2026-09-05T21:41:09.5050000Z,6a9c8c75485cab4c9540085c,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:65,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:09.9050000Z,2026-09-05T21:41:09.9050000Z,6a9c8c75485cab4c9540085e,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:67,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:11.7060000Z,2026-09-05T21:41:11.7060000Z,6a9c8c77485cab4c95400860,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:68,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:12.3730000Z,2026-09-05T21:41:12.3730000Z,6a9c8c78485cab4c95400862,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:69,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:41:12.7070000Z,2026-09-05T21:41:12.7070000Z,6a9c8c78485cab4c95400864,wenyi090326-3.stratalog.logdata.json
DialogueNodeEvent:18:7,dialogue,1,DialogueEvent,Unit 2 Prod (Refactor),2026-09-05T21:36:33.7930000Z,2026-09-05T21:36:33.7930000Z,6a9c8b61485cab4c954001e8,wenyi090326-3.stratalog.logdata.json
